CHAIN,CORRECT,TOTAL,ACCURACY
AmountFormatNormalizer->CurrencyRemoveNormalizer->WhitespaceRemoveNormalizer->DecimalNumberFormatNormalizer,86,94,0.9148936170212766
AmountFormatNormalizer->DecimalNumberFormatNormalizer->CurrencyRemoveNormalizer->WhitespaceRemoveNormalizer,86,94,0.9148936170212766
AmountFormatNormalizer->DecimalNumberFormatNormalizer->WhitespaceRemoveNormalizer->CurrencyRemoveNormalizer,86,94,0.9148936170212766
AmountFormatNormalizer->WhitespaceRemoveNormalizer->DecimalNumberFormatNormalizer->CurrencyRemoveNormalizer,86,94,0.9148936170212766
AmountFormatNormalizer->WhitespaceRemoveNormalizer->CurrencyRemoveNormalizer->DecimalNumberFormatNormalizer,86,94,0.9148936170212766
DecimalNumberFormatNormalizer->AmountFormatNormalizer->CurrencyRemoveNormalizer->WhitespaceRemoveNormalizer,86,94,0.9148936170212766
DecimalNumberFormatNormalizer->AmountFormatNormalizer->WhitespaceRemoveNormalizer->CurrencyRemoveNormalizer,86,94,0.9148936170212766
DecimalNumberFormatNormalizer->CurrencyRemoveNormalizer->AmountFormatNormalizer->WhitespaceRemoveNormalizer,86,94,0.9148936170212766
DecimalNumberFormatNormalizer->CurrencyRemoveNormalizer->WhitespaceRemoveNormalizer->AmountFormatNormalizer,83,94,0.8829787234042553
DecimalNumberFormatNormalizer->WhitespaceRemoveNormalizer->CurrencyRemoveNormalizer->AmountFormatNormalizer,83,94,0.8829787234042553
DecimalNumberFormatNormalizer->WhitespaceRemoveNormalizer->AmountFormatNormalizer->CurrencyRemoveNormalizer,83,94,0.8829787234042553
WhitespaceRemoveNormalizer->AmountFormatNormalizer->DecimalNumberFormatNormalizer->CurrencyRemoveNormalizer,83,94,0.8829787234042553
WhitespaceRemoveNormalizer->AmountFormatNormalizer->CurrencyRemoveNormalizer->DecimalNumberFormatNormalizer,83,94,0.8829787234042553
WhitespaceRemoveNormalizer->DecimalNumberFormatNormalizer->AmountFormatNormalizer->CurrencyRemoveNormalizer,83,94,0.8829787234042553
WhitespaceRemoveNormalizer->DecimalNumberFormatNormalizer->CurrencyRemoveNormalizer->AmountFormatNormalizer,83,94,0.8829787234042553
WhitespaceRemoveNormalizer->CurrencyRemoveNormalizer->DecimalNumberFormatNormalizer->AmountFormatNormalizer,83,94,0.8829787234042553
WhitespaceRemoveNormalizer->CurrencyRemoveNormalizer->AmountFormatNormalizer->DecimalNumberFormatNormalizer,83,94,0.8829787234042553
CurrencyRemoveNormalizer->AmountFormatNormalizer->DecimalNumberFormatNormalizer->DictionaryReplacementNormalizer,86,94,0.9148936170212766
CurrencyRemoveNormalizer->AmountFormatNormalizer->DictionaryReplacementNormalizer->DecimalNumberFormatNormalizer,86,94,0.9148936170212766
CurrencyRemoveNormalizer->DecimalNumberFormatNormalizer->AmountFormatNormalizer->DictionaryReplacementNormalizer,86,94,0.9148936170212766
CurrencyRemoveNormalizer->DecimalNumberFormatNormalizer->DictionaryReplacementNormalizer->AmountFormatNormalizer,87,94,0.925531914893617
