CHAIN,CORRECT,TOTAL,ACCURACY
MapDocumentTextToValueNormalizer->CapitalizeNormalizer->WhitespaceNormalizer,71,89,0.797752808988764
MapDocumentTextToValueNormalizer->WhitespaceNormalizer->CapitalizeNormalizer,71,89,0.797752808988764
CapitalizeNormalizer->MapDocumentTextToValueNormalizer->WhitespaceNormalizer,87,89,0.9775280898876404
CapitalizeNormalizer->WhitespaceNormalizer->MapDocumentTextToValueNormalizer,87,89,0.9775280898876404
WhitespaceNormalizer->CapitalizeNormalizer->MapDocumentTextToValueNormalizer,87,89,0.9775280898876404
WhitespaceNormalizer->MapDocumentTextToValueNormalizer->CapitalizeNormalizer,71,89,0.797752808988764
UpperCaseNormalizer->CapitalizeNormalizer->WhitespaceNormalizer,5,89,0.056179775280898875
UpperCaseNormalizer->WhitespaceNormalizer->CapitalizeNormalizer,5,89,0.056179775280898875
CapitalizeNormalizer->UpperCaseNormalizer->WhitespaceNormalizer,5,89,0.056179775280898875
CapitalizeNormalizer->WhitespaceNormalizer->UpperCaseNormalizer,5,89,0.056179775280898875
WhitespaceNormalizer->CapitalizeNormalizer->UpperCaseNormalizer,5,89,0.056179775280898875
WhitespaceNormalizer->UpperCaseNormalizer->CapitalizeNormalizer,5,89,0.056179775280898875
LowerCaseNormalizer->CapitalizeNormalizer->WhitespaceNormalizer,37,89,0.4157303370786517
LowerCaseNormalizer->WhitespaceNormalizer->CapitalizeNormalizer,37,89,0.4157303370786517
CapitalizeNormalizer->LowerCaseNormalizer->WhitespaceNormalizer,0,89,0.0
CapitalizeNormalizer->WhitespaceNormalizer->LowerCaseNormalizer,0,89,0.0
WhitespaceNormalizer->CapitalizeNormalizer->LowerCaseNormalizer,0,89,0.0
WhitespaceNormalizer->LowerCaseNormalizer->CapitalizeNormalizer,37,89,0.4157303370786517
MapDocumentTextToValueNormalizer->PunctuationRemoveNormalizer->WhitespaceNormalizer,51,89,0.5730337078651685
MapDocumentTextToValueNormalizer->WhitespaceNormalizer->PunctuationRemoveNormalizer,51,89,0.5730337078651685
PunctuationRemoveNormalizer->MapDocumentTextToValueNormalizer->WhitespaceNormalizer,85,89,0.9550561797752809
PunctuationRemoveNormalizer->WhitespaceNormalizer->MapDocumentTextToValueNormalizer,85,89,0.9550561797752809
WhitespaceNormalizer->PunctuationRemoveNormalizer->MapDocumentTextToValueNormalizer,85,89,0.9550561797752809
WhitespaceNormalizer->MapDocumentTextToValueNormalizer->PunctuationRemoveNormalizer,51,89,0.5730337078651685
UpperCaseNormalizer->PunctuationRemoveNormalizer->WhitespaceNormalizer,4,89,0.0449438202247191
