SCORE,ACCURACY,EXTRACTED,GOLD,CORRECT
0.597125,0.967741935483871,279,328,270
0.593377,0.9642857142857143,280,328,270
0.592175,0.9644128113879004,281,328,271
0.588673,0.9609929078014184,282,328,271
0.587783,0.9611307420494699,283,328,272
0.587672,0.9612676056338029,284,328,273
0.583639,0.9614035087719298,285,328,274
0.582712,0.958041958041958,286,328,274
0.582367,0.9547038327526133,287,328,274
0.576288,0.9548611111111112,288,328,275
0.575509,0.9515570934256056,289,328,275
0.573257,0.9517241379310345,290,328,276
0.571667,0.9484536082474226,291,328,276
0.545487,0.9486301369863014,292,328,277
0.544513,0.9488054607508533,293,328,278
0.539147,0.9455782312925171,294,328,278
0.534796,0.9457627118644067,295,328,279
0.527251,0.9425675675675675,296,328,279
0.520482,0.9427609427609428,297,328,280
0.518417,0.9429530201342282,298,328,281
0.515465,0.9431438127090301,299,328,282
0.510048,0.9433333333333334,300,328,283
0.508808,0.9401993355481728,301,328,283
0.504629,0.9403973509933775,302,328,284
0.501188,0.9405940594059405,303,328,285
0.497435,0.9375,304,328,285
0.4899,0.9377049180327869,305,328,286
0.486053,0.934640522875817,306,328,286
0.482558,0.9348534201954397,307,328,287
0.47482,0.9318181818181818,308,328,287
0.41753,0.9288025889967637,309,328,287
0.415269,0.9258064516129032,310,328,287
0.389809,0.9260450160771704,311,328,288
0.0,0.9260450160771704,311,328,288
