CHAIN,CORRECT,TOTAL,ACCURACY
PunctuationRemoveNormalizer->LowerCaseNormalizer->CapitalizeNormalizer,231,359,0.6434540389972145
MapDocumentTextToValueNormalizer->UpperCaseNormalizer->WhitespaceNormalizer,9,359,0.025069637883008356
MapDocumentTextToValueNormalizer->WhitespaceNormalizer->UpperCaseNormalizer,9,359,0.025069637883008356
UpperCaseNormalizer->MapDocumentTextToValueNormalizer->WhitespaceNormalizer,326,359,0.9080779944289693
UpperCaseNormalizer->WhitespaceNormalizer->MapDocumentTextToValueNormalizer,326,359,0.9080779944289693
WhitespaceNormalizer->UpperCaseNormalizer->MapDocumentTextToValueNormalizer,326,359,0.9080779944289693
WhitespaceNormalizer->MapDocumentTextToValueNormalizer->UpperCaseNormalizer,9,359,0.025069637883008356
MapDocumentTextToValueNormalizer->LowerCaseNormalizer->WhitespaceNormalizer,5,359,0.013927576601671309
MapDocumentTextToValueNormalizer->WhitespaceNormalizer->LowerCaseNormalizer,5,359,0.013927576601671309
LowerCaseNormalizer->MapDocumentTextToValueNormalizer->WhitespaceNormalizer,326,359,0.9080779944289693
LowerCaseNormalizer->WhitespaceNormalizer->MapDocumentTextToValueNormalizer,326,359,0.9080779944289693
WhitespaceNormalizer->LowerCaseNormalizer->MapDocumentTextToValueNormalizer,326,359,0.9080779944289693
WhitespaceNormalizer->MapDocumentTextToValueNormalizer->LowerCaseNormalizer,5,359,0.013927576601671309
UpperCaseNormalizer->LowerCaseNormalizer->WhitespaceNormalizer,5,359,0.013927576601671309
UpperCaseNormalizer->WhitespaceNormalizer->LowerCaseNormalizer,5,359,0.013927576601671309
LowerCaseNormalizer->UpperCaseNormalizer->WhitespaceNormalizer,11,359,0.03064066852367688
LowerCaseNormalizer->WhitespaceNormalizer->UpperCaseNormalizer,11,359,0.03064066852367688
WhitespaceNormalizer->LowerCaseNormalizer->UpperCaseNormalizer,11,359,0.03064066852367688
WhitespaceNormalizer->UpperCaseNormalizer->LowerCaseNormalizer,5,359,0.013927576601671309
MapDocumentTextToValueNormalizer->CapitalizeNormalizer->WhitespaceNormalizer,262,359,0.7298050139275766
MapDocumentTextToValueNormalizer->WhitespaceNormalizer->CapitalizeNormalizer,262,359,0.7298050139275766
CapitalizeNormalizer->MapDocumentTextToValueNormalizer->WhitespaceNormalizer,326,359,0.9080779944289693
